date,cases
01/18/2014,361
01/19/2014,359
01/20/2014,465
01/21/2014,408
01/22/2014,396
01/23/2014,367
01/24/2014,382
01/25/2014,330
01/26/2014,363
01/27/2014,418
01/28/2014,358
01/29/2014,370
01/30/2014,288
01/31/2014,337
02/01/2014,406
02/02/2014,407
02/03/2014,490
02/04/2014,427
02/05/2014,374
02/06/2014,386
02/07/2014,382
02/08/2014,359
02/09/2014,378
02/10/2014,472
02/11/2014,416
02/12/2014,373
02/13/2014,371
02/14/2014,332
02/15/2014,342
02/16/2014,389
02/17/2014,454
02/18/2014,412
02/19/2014,395
02/20/2014,371
02/21/2014,366
02/22/2014,359
02/23/2014,379
02/24/2014,433
02/25/2014,391
02/26/2014,358
02/27/2014,357
02/28/2014,366
03/01/2014,332
03/02/2014,376
03/03/2014,431
03/04/2014,389
03/05/2014,406
03/06/2014,387
03/07/2014,400
03/08/2014,358
03/09/2014,392
03/10/2014,442
03/11/2014,409
03/12/2014,372
03/13/2014,315
03/14/2014,390
03/15/2014,362
03/16/2014,317
03/17/2014,418
03/18/2014,383
03/19/2014,376
03/20/2014,376
03/21/2014,372
03/22/2014,352
03/23/2014,367
03/24/2014,435
03/25/2014,381
03/26/2014,349
03/27/2014,351
03/28/2014,388
03/29/2014,346
03/30/2014,364
03/31/2014,433
04/01/2014,388
